semaine,date,annee,num_sem,created,completed,net,ratio_completion,backlog_cumule,total_activite,created_ma4,completed_ma4,net_ma4
2025-W35,2025-08-25,2025,35,243,245,-2,1.008230452674897,-2,488,,,
2025-W36,2025-09-01,2025,36,636,531,105,0.8349056603773585,103,1167,,,
2025-W37,2025-09-08,2025,37,560,516,44,0.9214285714285714,147,1076,,,
2025-W38,2025-09-15,2025,38,653,490,163,0.7503828483920367,310,1143,523.0,445.5,77.5
2025-W39,2025-09-22,2025,39,506,406,100,0.8023715415019763,410,912,588.75,485.75,103.0
2025-W40,2025-09-29,2025,40,926,654,272,0.7062634989200864,682,1580,661.25,516.5,144.75
2025-W41,2025-10-06,2025,41,804,549,255,0.6828358208955224,937,1353,722.25,524.75,197.5
2025-W42,2025-10-13,2025,42,644,2523,-1879,3.9177018633540373,-942,3167,720.0,1033.0,-313.0
2025-W43,2025-10-20,2025,43,462,554,-92,1.199134199134199,-1034,1016,709.0,1070.0,-361.0
2025-W44,2025-10-27,2025,44,533,556,-23,1.0431519699812384,-1057,1089,610.75,1045.5,-434.75
2025-W45,2025-11-03,2025,45,626,590,36,0.9424920127795527,-1021,1216,566.25,1055.75,-489.5
2025-W46,2025-11-10,2025,46,289,486,-197,1.6816608996539792,-1218,775,477.5,546.5,-69.0
2025-W47,2025-11-17,2025,47,602,481,121,0.7990033222591362,-1097,1083,512.5,528.25,-15.75
2025-W48,2025-11-24,2025,48,783,669,114,0.8544061302681992,-983,1452,575.0,556.5,18.5
2025-W49,2025-12-01,2025,49,602,598,4,0.9933554817275747,-979,1200,569.0,558.5,10.5
2025-W50,2025-12-08,2025,50,414,379,35,0.9154589371980676,-944,793,600.25,531.75,68.5
2025-W51,2025-12-15,2025,51,509,541,-32,1.0628683693516698,-976,1050,577.0,546.75,30.25
2025-W52,2025-12-22,2025,52,128,180,-52,1.40625,-1028,308,413.25,424.5,-11.25
2026-W01,2025-12-29,2026,1,143,176,-33,1.2307692307692308,-1061,319,298.5,319.0,-20.5
2026-W02,2026-01-05,2026,2,570,472,98,0.8280701754385965,-963,1042,337.5,342.25,-4.75
2026-W03,2026-01-12,2026,3,506,478,28,0.9446640316205533,-935,984,336.75,326.5,10.25
2026-W04,2026-01-19,2026,4,1070,731,339,0.6831775700934579,-596,1801,572.25,464.25,108.0
2026-W05,2026-01-26,2026,5,930,681,249,0.7322580645161291,-347,1611,769.0,590.5,178.5
2026-W06,2026-02-02,2026,6,703,688,15,0.9786628733997155,-332,1391,802.25,644.5,157.75
2026-W07,2026-02-09,2026,7,553,535,18,0.9674502712477396,-314,1088,814.0,658.75,155.25
2026-W08,2026-02-16,2026,8,501,638,-137,1.2734530938123751,-451,1139,671.75,635.5,36.25
2026-W09,2026-02-23,2026,9,662,712,-50,1.0755287009063443,-501,1374,604.75,643.25,-38.5
2026-W10,2026-03-02,2026,10,705,556,149,0.7886524822695036,-352,1261,605.25,610.25,-5.0
2026-W11,2026-03-09,2026,11,723,685,38,0.9474412171507607,-314,1408,647.75,647.75,0.0
2026-W12,2026-03-16,2026,12,1230,670,560,0.5447154471544715,246,1900,830.0,655.75,174.25
2026-W13,2026-03-23,2026,13,713,545,168,0.7643758765778401,414,1258,842.75,614.0,228.75
2026-W14,2026-03-30,2026,14,632,663,-31,1.0490506329113924,383,1295,824.5,640.75,183.75
2026-W15,2026-04-06,2026,15,562,521,41,0.9270462633451957,424,1083,784.25,599.75,184.5
2026-W16,2026-04-13,2026,16,575,483,92,0.84,516,1058,620.5,553.0,67.5
2026-W17,2026-04-20,2026,17,606,572,34,0.9438943894389439,550,1178,593.75,559.75,34.0
2026-W18,2026-04-27,2026,18,380,384,-4,1.0105263157894737,546,764,530.75,490.0,40.75
2026-W19,2026-05-04,2026,19,493,553,-60,1.1217038539553752,486,1046,513.5,498.0,15.5
2026-W20,2026-05-11,2026,20,858,441,417,0.513986013986014,903,1299,584.25,487.5,96.75
2026-W21,2026-05-18,2026,21,387,480,-93,1.2403100775193798,810,867,529.5,464.5,65.0
2026-W22,2026-05-25,2026,22,290,412,-122,1.4206896551724137,688,702,507.0,471.5,35.5
2026-W23,2026-06-01,2026,23,97,112,-15,1.1546391752577319,673,209,408.0,361.25,46.75
2026-W24,2026-06-08,2026,24,1174,546,628,0.46507666098807493,1301,1720,487.0,387.5,99.5
2026-W25,2026-06-15,2026,25,464,470,-6,1.0129310344827587,1295,934,506.25,385.0,121.25
2026-W26,2026-06-22,2026,26,467,447,20,0.9571734475374732,1315,914,550.5,393.75,156.75
2026-W27,2026-06-29,2026,27,855,388,467,0.45380116959064326,1782,1243,740.0,462.75,277.25
2026-W28,2026-07-06,2026,28,326,342,-16,1.049079754601227,1766,668,528.0,411.75,116.25
2026-W29,2026-07-13,2026,29,270,272,-2,1.0074074074074073,1764,542,479.5,362.25,117.25
2026-W30,2026-07-20,2026,30,412,363,49,0.8810679611650486,1813,775,465.75,341.25,124.5
2026-W31,2026-07-27,2026,31,483,394,89,0.8157349896480331,1902,877,372.75,342.75,30.0
2026-W32,2026-08-03,2026,32,351,378,-27,1.0769230769230769,1875,729,379.0,351.75,27.25
2026-W33,2026-08-10,2026,33,312,297,15,0.9519230769230769,1890,609,389.5,358.0,31.5
2026-W34,2026-08-17,2026,34,523,351,172,0.6711281070745698,2062,874,417.25,355.0,62.25
2026-W35,2026-08-24,2026,35,218,148,70,0.6788990825688074,2132,366,351.0,293.5,57.5
