mois,created,completed,net,ratio
2025-08,243,245,-2,1.008230452674897
2025-09,3281,2597,684,0.7915269734836939
2025-10,2443,4182,-1739,1.7118297175603765
2025-11,2300,2226,74,0.9678260869565217
2025-12,1796,1874,-78,1.0434298440979954
2026-01,3076,2362,714,0.7678803641092328
2026-02,2419,2573,-154,1.0636626705250103
2026-03,4003,3119,884,0.7791656257806645
2026-04,2123,1960,163,0.9232218558643429
2026-05,2028,1886,142,0.9299802761341223
2026-06,3057,1963,1094,0.6421328099443899
2026-07,1491,1371,120,0.9195171026156942
2026-08,1404,1174,230,0.8361823361823362
